game_status,dealer_total,dealer_cards,player_name,player_total,player_cards,player_wager,player_balance,running_count,deck_remaining_percent,true_count,remaining_cards
player bust,26,six queen ten ,computer,23,five jack eight ,100,-100,0,0.9230769230769231,0.0,",ten,two,three,seven,six,three,two,four,ace,five,queen,ace,five,queen,four,queen,king,seven,nine,seven,ten,jack,nine,king,eight,five,jack,ten,four,eight,three,six,six,ace,two,nine,jack,king,ace,seven,three,four,nine,two,king"
player wins,18,two seven three two four ,computer,19,ten three six ,100,0,1,0.8076923076923077,1.2380952380952381,",ace,five,queen,ace,five,queen,four,queen,king,seven,nine,seven,ten,jack,nine,king,eight,five,jack,ten,four,eight,three,six,six,ace,two,nine,jack,king,ace,seven,three,four,nine,two,king"
blackjack,21,five ace five ,computer,21,ace queen ,100,200,-1,0.6538461538461539,-1.5294117647058822,",queen,four,queen,king,seven,nine,seven,ten,jack,nine,king,eight,five,jack,ten,four,eight,three,six,six,ace,two,nine,jack,king,ace,seven,three,four,nine,two,king"
dealer wins,21,four king seven ,computer,20,queen queen ,100,100,-3,0.5576923076923077,-5.379310344827586,",nine,seven,ten,jack,nine,king,eight,five,jack,ten,four,eight,three,six,six,ace,two,nine,jack,king,ace,seven,three,four,nine,two,king"
player wins,17,seven jack ,computer,19,nine ten ,100,200,-5,0.46153846153846156,-10.833333333333332,",nine,king,eight,five,jack,ten,four,eight,three,six,six,ace,two,nine,jack,king,ace,seven,three,four,nine,two,king"
dealer wins,19,nine queen ,computer,17,jack seven ,100,100,-2,0.9230769230769231,-2.1666666666666665,",jack,queen,four,four,six,ten,king,queen,five,king,two,ten,six,seven,six,eight,seven,nine,eight,eight,five,queen,king,eight,two,four,six,ace,four,jack,three,ten,five,nine,two,seven,ace,ace,ace,king,ten,two,nine,three,jack,five,three"
dealer wins,20,queen four six ,computer,14,jack four ,100,0,-2,0.8461538461538461,-2.3636363636363638,",ten,king,queen,five,king,two,ten,six,seven,six,eight,seven,nine,eight,eight,five,queen,king,eight,two,four,six,ace,four,jack,three,ten,five,nine,two,seven,ace,ace,ace,king,ten,two,nine,three,jack,five,three"
dealer bust,25,king five king ,computer,20,ten queen ,100,100,-4,0.75,-5.333333333333333,",two,ten,six,seven,six,eight,seven,nine,eight,eight,five,queen,king,eight,two,four,six,ace,four,jack,three,ten,five,nine,two,seven,ace,ace,ace,king,ten,two,nine,three,jack,five,three"
player bust,17,ten seven ,computer,22,two six six eight ,100,0,-3,0.6538461538461539,-4.588235294117647,",seven,nine,eight,eight,five,queen,king,eight,two,four,six,ace,four,jack,three,ten,five,nine,two,seven,ace,ace,ace,king,ten,two,nine,three,jack,five,three"
player wins,17,nine eight ,computer,20,seven eight five ,100,100,-3,0.5384615384615384,-5.571428571428572,",queen,king,eight,two,four,six,ace,four,jack,three,ten,five,nine,two,seven,ace,ace,ace,king,ten,two,nine,three,jack,five,three"
